Name,Qualification,Years_Of_Experience,Speciality_of_doctor,Location,dp_score,npv,consultation_fee
Dr. Pooja Mehta,"MBBS, DNB - Ophthalmology",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"East Of Kailash, Delhi",98%,(52 votes),₹1000
Dr. Puneet Jain,MD - Ophthalmology,11 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Patparganj, Delhi",100%,(17 votes),₹800
Dr. Deepa Ekbote,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (20 years as specialist),Ophthalmologist,"Nehru Place, Delhi",92%,(12 votes),₹1000
Dr. Narrotama Sindhu,"MBBS, MD - Ophthalmology, DO",30 Years Experience Overall,Ophthalmologist,"Patparganj, Delhi",0,0,₹800
Dr. Purnima Sood,"MBBS, MD - Ophthalmology",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Lajpat Nagar, Delhi",0,0,₹1700
Dr. Sanjay Kumar Gupta,"MBBS, DO, DNB - Ophthalmology",23 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Palam Colony, Delhi",0,0,₹500
Dr. Uma Mallaiah,"MBBS, DO",28 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Greater Kailash Part 2, Delhi",0,0,₹1500
Dr. Nidhi Gupta,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",21 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Nirman Vihar, Delhi",0,0,₹800
Dr. Kanika Chhabra,"MBBS, MS - Ophthalmology",11 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Patel Nagar West, Delhi",0,0,₹600
Dr. Rituraj Baruah,"MBBS, MS - Ophthalmology",24 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Saket, Delhi",0,0,₹1000
Dr. Abhas Kumar Sinha,"MBBS, MS - Ophthalmology",21 Years Experience Overall,Ophthalmologist,"Sarita Vihar, Delhi",0,0,₹600
Dr. Anshu Gupta,"MBBS, DO",18 Years Experience Overall,Ophthalmologist,"Saket, Delhi",0,0,₹1000
Dr. Somya Ish,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",8 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Safdarjung Enclave, Delhi",0,0,₹1000
Dr. G Pravin Sambandam,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Kilpauk, Chennai",0,0,₹700
Dr. Shanmuga Priya,"MBBS, MS - Ophthalmology",12 Years Experience Overall,Ophthalmologist,"Ashok Nagar, Chennai",0,0,₹500
Dr. Srikanth R,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Thiruvanmiyur, Chennai",100%,(38 votes),₹499
Dr. J. Arun Kumar,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Ashok Nagar, Chennai",0,0,₹500
Dr. Uma Ramesh,"MBBS, DOMS",33 Years Experience Overall  (32 years as specialist),Ophthalmologist,"Aminjikarai, Chennai",94%,(132 votes),₹700
Dr. Atheeshwar Das,"MBBS, DO, DNB - Ophthalmology, FRCS (Glasgow)",19 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Alwarpet, Chennai",96%,(759 votes),₹500
Dr. B Malini,"MBBS, DO",24 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Mylapore, Chennai",98%,(40 votes),₹500
Dr. P. Kumaravel,"MBBS, DO, MS - Ophthalmology",45 Years Experience Overall  (41 years as specialist),Ophthalmologist,"West Mambalam, Chennai",99%,(197 votes),₹500
Dr. Balasubramanian,"MBBS, DO",14 Years Experience Overall  (11 years as specialist),Ophthalmologist,"West Mambalam, Chennai",98%,(702 votes),₹500
Dr. Venkateshwar Ravisankar,"MBBS, MS - Ophthalmology",14 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Royapettah, Chennai",0,0,₹500
Dr. Rajendran D,"MBBS, MS - Ophthalmology",29 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Alwarpet, Chennai",98%,(847 votes),₹600
Dr. K.Ravi Kumar,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (16 years as specialist),Ophthalmologist,"T Nagar, Chennai",96%,(191 votes),₹500
Dr. E Ravindra Mohan,"MBBS, MD - Ophthalmology",33 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Perumbakkam, Chennai",0,0,₹600
Dr. Susan Marthandan,"MBBS, MS - Ophthalmology",20 Years Experience Overall,Ophthalmologist,"Adyar, Chennai",98%,(47 votes),₹400
Dr. Ashok Rangarajan,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",31 Years Experience Overall  (26 years as specialist),Ophthalmologist,"Alwarpet, Chennai",95%,(195 votes),₹700
Dr. Vasantha Gowri.S.,"MBBS, DO",27 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Perambur, Chennai",0,0,₹400
Dr. Sudhan Susikaran,"MBBS, DOMS",27 Years Experience Overall  (20 years as specialist),Ophthalmologist,"Kilpauk, Chennai",100%,(11 votes),₹300
Dr. Radhi Malar,"MBBS, MS - Ophthalmology",19 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Adyar, Chennai",99%,(550 votes),₹500
Dr. Soundaram,"MS - Ophthalmology, MBBS",17 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹800
Dr. Pratik Sen,"MBBS, MS - Ophthalmology, DO",30 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹600
Dr. Manoj Khatri,"MBBS, DNB - Ophthalmology",20 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹1000
Dr. Harshita Bakshi,"MBBS, MS - Ophthalmology",31 Years Experience Overall  (27 years as specialist),Ophthalmologist,"Manapakkam, Chennai",0,0,₹800
Dr. Rajini Kantha,"MBBS, MS - Ophthalmology",46 Years Experience Overall  (41 years as specialist),Ophthalmologist,"T Nagar, Chennai",99%,(1349 votes),₹500
Dr. Sridhar Baratan,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹1000
Dr. P.Geetha,"MS - Ophthalmology, MBBS",28 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Vanagaram, Chennai",0,0,₹800
Dr. Sripriya Sankar,"MBBS, DO",32 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹800
Dr. Anil Chandra,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Adyar, Chennai",95%,(22 votes),₹500
Dr. Naveen Narendranath,"MBBS, DO, DNB - Ophthalmology",16 Years Experience Overall  (13 years as specialist),Ophthalmologist,"T Nagar, Chennai",100%,(1474 votes),₹500
Dr. Shweta Atheeshwar,"MS - Ophthalmology, MBBS",17 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Alwarpet, Chennai",100%,(466 votes),₹500
Dr. P Viswanathan,"MBBS, MS - Ophthalmology",21 Years Experience Overall,Ophthalmologist,"Greams Road, Chennai",0,0,₹1000
Dr. Major Raghavan,"MBBS, MD - Ophthalmology",48 Years Experience Overall  (44 years as specialist),Ophthalmologist,"Teynampet, Chennai",0,0,₹1000
Dr. Mohan Raj K,"MBBS, DO, MS - Ophthalmology",50 Years Experience Overall  (43 years as specialist),Ophthalmologist,"Valasaravakkam, Chennai",0,0,₹400
Dr. Sapna Kishore Mardi,"MBBS, DNB - Ophthalmology",29 Years Experience Overall  (24 years as specialist),Ophthalmologist,"MRC Nagar, Chennai",0,0,₹1000
Dr. Rajaram Thangasamy,"MBBS, DNB - Ophthalmology, DO",26 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Tondiarpet, Chennai",0,0,₹350
Dr. Meenakshi Pande,"MBBS, DO",20 Years Experience Overall,Ophthalmologist,"OMR Road, Chennai",100%,(11 votes),₹700
Dr. Rajesh Gupta,"MBBS, MS - Ophthalmology",29 Years Experience Overall  (21 years as specialist),Ophthalmologist,"Greams Road, Chennai",0,0,₹1000
Dr. M. Chockalingam,"MBBS, DOMS",24 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Greams Road, Chennai",0,0,₹1000
Dr. Pratik Ranjan Sen,"MBBS, DO, MS - Ophthalmology",26 Years Experience Overall,Ophthalmologist,"Greams Road, Chennai",0,0,₹1500
Dr. Priti Udhay,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Alwarpet, Chennai",0,0,₹500
Dr. Shradha Goel,"MS - Ophthalmology, MBBS",20 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Andheri West, Mumbai",99%,(649 votes),₹499
Dr. Saumil Sheth,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, FCPS- Ophthalmology, DOMS",22 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Jogeshwari West, Mumbai",95%,(39 votes),₹499
Dr. Prachi Parmar,"DO, MBBS",12 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Ghatkopar, Mumbai",100%,(26 votes),₹99
Dr. Sanjeev J Balani,"MBBS, DOMS",30 Years Experience Overall  (25 years as specialist),Ophthalmologist,"Bandra West, Mumbai",86%,(44 votes),₹499
Dr. Kunjal Sejpal,"MBBS, DNB - Ophthalmology, DO",20 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Dadar, Mumbai",100%,(79 votes),₹499
Dr. Jatin Ashar,"MBBS, MD - Ophthalmology, DNB - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology)",13 Years Experience Overall,Ophthalmologist,"Ghatkopar, Mumbai",96%,(1387 votes),₹499
Dr. Pranay Kapadia,"MS - Ophthalmology, MBBS",23 Years Experience Overall,Ophthalmologist,"Bandra West, Mumbai",100%,(27 votes),₹799
Dr. Bulchandani Santosh Kumar Kamal,"MBBS, DO, DOMS, DNB - Ophthalmology",22 Years Experience Overall,Ophthalmologist,"Bandra West, Mumbai",0,0,₹299
Dr. Bhavesh Gohil,"MBBS, MS - Ophthalmology, DNB - Ophthalmology, DOMS",22 Years Experience Overall  (16 years as specialist),Ophthalmologist,"Wadala, Mumbai",99%,(358 votes),₹800
Dr. Pooja Ghodke,"MBBS, MS - Ophthalmology",12 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Andheri West, Mumbai",100%,(203 votes),₹600
Dr. Janaki Kodkani,"MBBS, MS - Ophthalmology, DOMS, FCPS- Ophthalmology",23 Years Experience Overall,Ophthalmologist,"Bandra West, Mumbai",92%,(36 votes),₹1000
Dr. Vidhan C Doshi,"MBBS, MS - Ophthalmology",12 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Andheri East, Mumbai",99%,(262 votes),₹800
Dr. Devanshi Shah,"MS - Ophthalmology, DNB - Ophthalmology, MBBS, Fellow of the Royal College of Ophthalmologists of UK (FRCOphth. UK)",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Ghatkopar East, Mumbai",98%,(62 votes),₹800
Dr. Pratima S  Wagh,"MBBS, DOMS",27 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Kandivali, Mumbai",100%,(23 votes),₹600
Dr. Rishika Chauhan,"MBBS, MS - Ophthalmology",13 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Ghatkopar West, Mumbai",100%,(238 votes),₹1500
Dr. Rajesh Mishra,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (13 years as specialist),Ophthalmologist,"Matunga East, Mumbai",100%,(27 votes),₹1500
Dr. Sangita B Manek,"MBBS, DOMS",24 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Bhandup West, Mumbai",100%,(39 votes),₹700
Dr. Mikeen Shah,"MBBS, DNB - Ophthalmology",13 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Andheri East, Mumbai",94%,(18 votes),₹600
Dr. Sanjeev Upadhyaya,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Marine Drive, Mumbai",100%,(34 votes),₹2500
Dr. Shalomith Uppapalli,"DNB - Ophthalmology, MBBS",14 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Andheri West, Mumbai",100%,(167 votes),₹1000
Dr. Preeti Patil,"DOMS, MBBS",27 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Bandra West, Mumbai",100%,(66 votes),₹1000
Dr. Pragnya Rathod,"MBBS, DNB - Ophthalmology",12 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Chembur, Mumbai",96%,(25 votes),₹1000
Dr. Chandni Kotak,"DNB - Ophthalmology, FAICO (Fellow of All India Collegium of Ophthalmology), MNAMS - Ophthalmology, MBBS",11 Years Experience Overall,Ophthalmologist,"Malabar Hill, Mumbai",100%,(24 votes),₹1200
Dr. Aayush Tandon,"MBBS, MS - Ophthalmology",10 Years Experience Overall  (4 years as specialist),Ophthalmologist,"Andheri West, Mumbai",99%,(83 votes),₹1000
Dr. Bhushan Ghodke,"MS - Ophthalmology, MBBS",14 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Andheri West, Mumbai",100%,(404 votes),₹600
Dr. Kalpesh Shah,"MBBS, MS - Ophthalmology",20 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Ghatkopar East, Mumbai",0,0,₹1000
Dr. Madhura Nayak,MS - Ophthalmology,12 Years Experience Overall,Ophthalmologist,"Goregaon West, Mumbai",100%,(14 votes),₹800
Dr. Pramila Das Shah,"MBBS, DO",11 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Ghatkopar, Mumbai",100%,(16 votes),₹500
Dr. Ritu Shah,"MD - Ophthalmology, MBBS",11 Years Experience Overall  (7 years as specialist),Ophthalmologist,"Andheri East, Mumbai",0,0,₹1000
Dr. Eesha N Gokhale,"MBBS, MS - Ophthalmology",10 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Goregaon West, Mumbai",0,0,₹700
Dr. Mit Doshi,"MBBS, MS - Ophthalmology",10 Years Experience Overall  (6 years as specialist),Ophthalmologist,"Malad East, Mumbai",0,0,₹600
Dr. Bindiya Doshi,"MBBS, MS - Ophthalmology",8 Years Experience Overall  (4 years as specialist),Ophthalmologist,"Malad East, Mumbai",0,0,₹600
Dr. Ashvinikumar Dound,"MS - Ophthalmology, MBBS",12 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Sion West, Mumbai",0,0,₹700
Dr. Karishma Bhate-Chavan,"MBBS, DNB - Ophthalmology",11 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Chembur East, Mumbai",0,0,₹800
Dr. Sameer Sawant,"MBBS, MS - Ophthalmology",21 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Santacruz East, Mumbai",99%,(124 votes),₹850
Dr. Dhawal Haria,"MBBS, DNB - Ophthalmology",14 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Borivali West, Mumbai",100%,(272 votes),₹400
Dr. Susheel Deshmukh,"MBBS, MS - Ophthalmology",18 Years Experience Overall  (12 years as specialist),Ophthalmologist,"Goregaon East, Mumbai",97%,(61 votes),₹500
Dr. Jenin Patel,"MBBS, MS - Ophthalmology",24 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Malad West, Mumbai",95%,(371 votes),₹800
Dr. Gul J. Nankani,"MS - Ophthalmology, MBBS",32 Years Experience Overall  (29 years as specialist),Ophthalmologist,"Parel, Mumbai",99%,(1479 votes),₹1500
Dr. Minali Goyal,"MS - Ophthalmology, MBBS",35 Years Experience Overall,Ophthalmologist,"Worli, Mumbai",95%,(88 votes),₹800
Dr. Rushabh Shah,"MBBS, DNB - Ophthalmology",16 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Girgaon, Mumbai",95%,(43 votes),₹1000
Dr. Partho Bakshi,"MBBS, DOMS, DNB - Ophthalmology",18 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Chembur, Mumbai",100%,(31 votes),₹1200
Dr. Priti H Nirmal,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",9 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Malad West, Mumbai",100%,(12 votes),₹500
Dr. Kshitij Parekh,"MBBS, MS - Ophthalmology",9 Years Experience Overall  (5 years as specialist),Ophthalmologist,"Vikhroli, Mumbai",96%,(28 votes),₹500
Dr. Manish Shyamkul,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (15 years as specialist),Ophthalmologist,"Goregaon, Mumbai",94%,(16 votes),₹700
Dr. P Suresh,"MBBS, MS - Ophthalmology",34 Years Experience Overall  (30 years as specialist),Ophthalmologist,"Mulund West, Mumbai",100%,(29 votes),₹1200
Dr. Sanyogita Y. Vichare,"MBBS, DOMS, FCPS- Ophthalmology, DNB - Ophthalmology",16 Years Experience Overall,Ophthalmologist,"Dadar, Mumbai",98%,(282 votes),₹600
Dr. Aasif  Yusuf Virani,"MS - Ophthalmology, FRCS - General Surgery, DOMS",15 Years Experience Overall,Ophthalmologist,"Mulund West, Mumbai",0,0,₹1200
Dr. Girija Suresh,"MBBS, DOMS, FRCS - General Surgery",23 Years Experience Overall,Ophthalmologist,"Mulund West, Mumbai",100%,(27 votes),₹1200
Dr. Alpa Jain,"MBBS, MS - Ophthalmology",28 Years Experience Overall  (24 years as specialist),Ophthalmologist,"Andheri, Mumbai",99%,(244 votes),₹600
Dr. Verdith Hegde,"MBBS, MS - Ophthalmology",16 Years Experience Overall  (10 years as specialist),Ophthalmologist,"Bhandup, Mumbai",97%,(174 votes),₹500
Dr. Anand Subramanyam,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (22 years as specialist),Ophthalmologist,"Mulund West, Mumbai",0,0,₹1200
Dr. Anurag Agarwal,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Goregaon West, Mumbai",98%,(244 votes),₹700
Dr. Sanjana.A,"MBBS, MS - Ophthalmology",25 Years Experience Overall  (20 years as specialist),Ophthalmologist,"Powai, Mumbai",100%,(26 votes),₹1100
Dr. Sunita Mohan,"MBBS, MS - Ophthalmology, DNB - Ophthalmology",13 Years Experience Overall,Ophthalmologist,"Chembur, Mumbai",0,0,₹1000
Dr. Himanshu Mehta,"MBBS, DOMS",39 Years Experience Overall  (35 years as specialist),Ophthalmologist,"Juhu, Mumbai",92%,(527 votes),₹1200
Dr. Pavitra Shanbhag Bhat,"FCPS- Ophthalmology, FRCS - General Surgery, DNB - Ophthalmology, FICOI, DOMS, MBBS",20 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Powai, Mumbai",100%,(53 votes),₹1100
Dr. Ashish Doshi,"MBBS, MS - Ophthalmology",23 Years Experience Overall  (18 years as specialist),Ophthalmologist,"Santacruz West, Mumbai",0,0,₹1200
Dr. Nita A Shah,"MBBS, MS - Ophthalmology",37 Years Experience Overall,Ophthalmologist,"Chembur East, Mumbai",89%,(104 votes),₹800
Dr. A. K. Tandon,"MBBS, MS - Ophthalmology",37 Years Experience Overall  (34 years as specialist),Ophthalmologist,"Andheri West, Mumbai",98%,(747 votes),₹1000
Dr. Pallavi Bipte,"MBBS, MS - Ophthalmology",12 Years Experience Overall,Ophthalmologist,"Chembur, Mumbai",0,0,₹1200
Dr. Darshana Gadgil,"MBBS, DO, DNB - Ophthalmology",22 Years Experience Overall  (19 years as specialist),Ophthalmologist,"Andheri East, Mumbai",99%,(673 votes),₹900
Dr. Deepti Nanwani Patel,"MBBS, DNB - Ophthalmology",13 Years Experience Overall  (9 years as specialist),Ophthalmologist,"Kandivali East, Mumbai",97%,(66 votes),₹500
Dr. Vinit Mahendra Shah,"MBBS, MD - Ophthalmology",17 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Borivali West, Mumbai",98%,(1270 votes),₹700
Dr. Seema Behl,"MBBS, MS - Ophthalmology",31 Years Experience Overall  (28 years as specialist),Ophthalmologist,"Andheri East, Mumbai",93%,(29 votes),₹800
Dr. Bakar Ali Kadiwala,"MBBS, DNB - Ophthalmology",19 Years Experience Overall  (11 years as specialist),Ophthalmologist,"Tardeo, Mumbai",0,0,₹1500
Dr. Chinmaya Sahu,"MBBS, MS - Ophthalmology, DOMS",19 Years Experience Overall  (14 years as specialist),Ophthalmologist,"Malad West, Mumbai",99%,(1219 votes),₹1000
Dr. Rasshmi Malhotra,"MBBS, MS - Ophthalmology",25 Years Experience Overall,Ophthalmologist,"Parel, Mumbai",99%,(159 votes),₹1200
Dr. Shounak Parekh,"MS - Ophthalmology, FCPS- Ophthalmology, MBBS, DNB - Ophthalmology",27 Years Experience Overall  (23 years as specialist),Ophthalmologist,"Bandra West, Mumbai",97%,(723 votes),₹1500
Dr. Nikhil Nasta,"MBBS, DNB - Ophthalmology, MS - Ophthalmology",21 Years Experience Overall  (17 years as specialist),Ophthalmologist,"Dadar East, Mumbai",98%,(968 votes),₹1500
Dr. Reshma Jhaveri,"DNB - Ophthalmology, MBBS",20 Years Experience Overall,Ophthalmologist,"Juhu, Mumbai",100%,(57 votes),₹1000
Dr. Mauli Potdar Shah,"MBBS, MS - Ophthalmology, DO",23 Years Experience Overall,Ophthalmologist,"Kandivali East, Mumbai",97%,(39 votes),₹800
Dr. Utsav Patel,"MBBS, DNB - Ophthalmology",13 Years Experience Overall  (8 years as specialist),Ophthalmologist,"Kandivali East, Mumbai",99%,(351 votes),₹500
