Name,Speciality_of_doctor,Degree,Years_Of_Experience,Location,City,dp_score(percentage),npv,consultation_fee
Dr. Bhaskar Shukla,Neurologist,"DM - Neurology, MD - Pediatrics, MD - Pathology, MBBS",5,Green Park, Delhi,100,24,1200
Dr. Anand Kumar Saxena,Neurologist,"MBBS, MD - Medicine, DM - Neurology",33,Dwarka Sector 19, Delhi,81,36,1400
Dr. Kadam Nagpal,Neurologist,"MBBS, DM - Neurology, MD - Medicine",16,South Extension 2, Delhi,96,113,1200
Dr. P. N. Renjen,Neurologist," FRCP, DM - Neurology, MBBS",47,Sarita Vihar, Delhi,94,955,2000
Dr. Atul Prasad,Neurologist,"MBBS, DM - Neurology",37,Pusa Road, Delhi,90,20,2000
Dr. Himank Goyal,Neurologist,"MD - General Medicine, MBBS, DM - Neurology",9,Ashok Vihar Phase 1, Delhi,92,26,1000
Dr. Mukul Varma,Neurologist,"MD - Medicine, DM - Neurology, MBBS",38,Sarita Vihar, Delhi,0,0,2000
Dr. Vinit Suri,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",37,Sarita Vihar, Delhi,60,25,2000
Dr. Rajiv Anand,Neurologist,"MBBS, MD - Medicine, DM - Neurology",43,Pusa Road, Delhi,71,106,2000
Dr. Anoop Kohli,Neurologist,"MBBS, MD - Pharmacology and Therapeutics, DM - Neurology",42,Sarita Vihar, Delhi,60,15,1500
Dr. Rakesh Agrawal,Neurologist,"MBBS, MD - Medicine, Diplomate of American Board of Psychiatry and Neurology",42,Sarita Vihar, Delhi,100,14,2000
Dr. Charu Gauba,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",30,Sarita Vihar, Delhi,0,0,1500
Dr. Mukesh Kumar,Neurologist,"MBBS, MD - Medicine, DNB - General Medicine, MD - Neurology (USA)",20,Panchsheel Park, Delhi,0,0,1400
Dr. Chander Mohan Malhotra,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",31,Sarita Vihar, Delhi,0,0,1500
Dr. L K Malhotra,Neurologist,"DM - Neurology, MBBS, MD - General Medicine",36,Sheikh Sarai, Delhi,96,106,1500
Dr. Rima khanna,Neurologist,"MBBS, DNB - Neurology, DNB - General Medicine",14,Shalimar Bagh, Delhi,40,20,1000
Dr. Vipin Satija,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",16,Ashok Vihar, Delhi,99,267,1000
Dr. Navdeep Kumar,Neurologist,"MBBS, MD - Medicine, DNB - Neurology",19,Greater Kailash Part 2, Delhi,95,177,1200
Dr. Shruti Jain,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",13,Rohini, Delhi,90,42,1000
Dr. Rajat Chopra,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",10,Rohini Sector 9, Delhi,94,17,800
Dr. Rohit Bansil,Neurologist,"MBBS, DNB - Neurosurgery",14,Pusa Road, Delhi,0,0,1500
Dr. Rajesh Gupta,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",23,Patparganj, Delhi,88,26,1000
Dr. Anurag Saxena,Neurologist,"MBBS, MCh - Neuro Surgery, FRCS - Neurosurgery, MS - General Surgery",18,Dwarka Sector 6, Delhi,0,0,1100
Dr. Gautam Arora,Neurologist,"MBBS, Diplomate of American Board of Psychiatry and Neurology",12,Kamla Nagar, Delhi,100,43,1100
Dr. Manoj Khanal,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",16,Shalimar Bagh, Delhi,64,14,1000
Dr. Vivek Kumar,Neurologist,"DM - Neurology, MD - Medicine, MBBS",31,Patparganj, Delhi,0,0,1200
Dr. Mohit Goel,Neurologist,"MBBS, DM - Neurology",26,Saket, Delhi,0,0,1200
Dr. Sanjay Saxena,Neurologist,"MBBS, DNB - Neurology, DM - Neurology",23,Patparganj, Delhi,94,16,1200
Dr. Amit Batra,Neurologist,"MBBS, MD - Medicine, DM - Neurology",22,Patparganj, Delhi,88,26,1000
Dr. Puja,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",10,Preet Vihar, Delhi,0,0,600
Dr. Dhruv Zutshi,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",14,Okhla, Delhi,0,0,900
Dr. Kumar Abhinav,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",9,Dwarka Sector 6, Delhi,0,0,1000
Dr. T. Vijay,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",24,Mogappair East, Chennai,99,2598,400
Dr. Venkatraman K,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",12,Perumbakkam, Chennai,100,15,800
Dr. A Gunasekaran,Neurologist,"MBBS, DM - Neurology, MD - Pediatrics",29,Maduravoyal, Chennai,96,81,500
Dr. V.Soundappan,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",42,Adyar, Chennai,99,133,900
Dr. Vijayashankar.P,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",12,Anna Nagar, Chennai,0,0,1000
Dr. S. Balasubramaniam,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",20,Velachery, Chennai,98,965,700
Dr. Mahesh,Neurologist,"MBBS, MD - Pediatrics, DM - Neurology",13,Thousand Lights, Chennai,0,0,1500
Dr. Dinesh Nayak,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",36,Perumbakkam, Chennai,98,40,1000
Dr. Muthukumar,Neurologist,"MBBS, MD - Pediatrics, DM - Neurology",13,Vanagaram, Chennai,100,15,800
Dr. M. Kodeeswaran,Neurologist,"MBBS, MCh - Neuro Surgery",21,Anna Nagar, Chennai,99,3569,500
Dr. Nagarajan V,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",41,Thiruvanmiyur, Chennai,98,45,800
Dr. Prabash.P.R.,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",10,Vanagaram, Chennai,0,0,800
Dr. Vincent Thamburaj,Neurologist,"MBBS, DNB - Neurosurgery",46,Teynampet, Chennai,0,0,1000
Dr. Shubha Subramanian,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",18,Chromepet, Chennai,96,26,600
Dr. Karthikeyan,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",14,Kolathur, Chennai,82,22,500
Dr. Sridharan Ramaratnam,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",41,Greams Road, Chennai,87,23,1500
Dr. Vikash Agarwal,Neurologist,"DM - Neurology, MBBS, MD - General Medicine",20,Chromepet, Chennai,99,209,800
Dr. A. Panneer,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",57,Greams Road, Chennai,82,22,1500
Dr. Somasundaram Aadhimoolam Chinnadurai,Neurologist,"DM - Neurology, MD - General Medicine, MBBS, MRCP (UK)",13,Greams Road, Chennai,100,41,1500
Dr. Anusha D,Neurologist,"DM - Neurology, MD - Pediatrics, MBBS, DNB - Neurology, DNB - Pediatrics",15,Teynampet, Chennai,93,42,1000
Dr. M. Dhanaraj,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",41,Greams Road, Chennai,75,12,1500
Dr. J Senthil Nathan,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",19,Adyar, Chennai,94,17,800
Dr. Vivek Iyer,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",15,Vadapalani, Chennai,83,12,1500
Dr. Joy Varghese,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery, Fellowship in Interventional Neurosurgery (FINR)",17,Greams Road, Chennai,0,0,1500
Dr. Muthukani,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",12,Greams Road, Chennai,0,0,600
Dr. Shunmuga Sundaram,Neurologist,"MBBS, MD - General Medicine, Diploma in Child Health (DCH), DM - Neurology",28,Adambakkam, Chennai,94,17,700
Dr. Arulselvan V L,Neurologist,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Neurology",33,Greams Road, Chennai,0,0,1000
Dr. N Thamil Pavai,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",26,Anna Nagar, Chennai,0,0,700
Dr. T.Arul Mozhi,Neurologist,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics, DNB - Neurology",24,Aminjikarai, Chennai,100,14,800
Dr. K.Shanmugasundaram,Neurologist,"MBBS, MD - General Medicine, DM - Neurology, Diploma in Child Health (DCH)",28,Velachery, Chennai,0,0,700
Dr. Geetha Lakshmipathy,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",39,Greams Road, Chennai,0,0,1500
Dr. S. Rajendran,Neurologist,"MBBS, MD - General Medicine, DM - Neurology, MRCP (UK)",30,Greams Road, Chennai,0,0,600
Dr. Suresh Paramasivam,Neurologist,"MCh - Neuro Surgery, MS - Orthopaedics, MBBS",13,Mylapore, Chennai,92,12,500
Dr. Noorul Ameen,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",10,Perumbakkam, Chennai,0,0,600
Dr. S. Yogaraj,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",26,Greams Road, Chennai,0,0,1500
Dr. Selvin Gnanaraj James,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",14,Kilpauk, Chennai,0,0,600
Dr. Priyanka M Tater,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",12,Mahim, Mumbai,0,0,1800
Dr. Pruthviraj Dabarase,Neurologist,"MD - General Medicine, DNB - Neurology",14,Vikhroli, Mumbai,100,11,1500
Dr. Rajesh Benny,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",19,Mulund West, Mumbai,100,27,2000
Dr. Nilesh  Vijay Chaudhary,Neurologist,"MBBS, DNB - General Medicine, DNB - Neurology",13,Powai, Mumbai,96,25,1600
Dr. Pravina Ushakant Shah,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",47,Mulund West, Mumbai,85,20,2000
Dr. Dhanashri Chonkar,Neurologist,"MBBS, DNB - Neurology",35,Mulund West, Mumbai,90,29,2000
Dr. Vinod Rambal,Neurologist,"MCh - Neuro Surgery, MBBS, MS - General Surgery",40,Mira Road, Mumbai,95,19,1000
Dr. Sureka Dhara Shrikant,Neurologist,"MD - Medicine, DNB - Neurology, MBBS",17,Mulund West, Mumbai,0,0,2000
Dr. Rima Chaudhari,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",12,Mulund West, Mumbai,86,14,2000
Dr. Shirish Hastak,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",42,Parel, Mumbai,100,14,4100
Dr. Pankaj Ashok Agarwal,Neurologist,"MBBS, MD - General Medicine, DNB - General Medicine, DM - Neurology",25,Parel, Mumbai,79,14,2350
Dr. Kaustubh Mahajan,Neurologist,"MBBS, FCPS - Medicine, DNB - Neurology",8,Mahim, Mumbai,93,14,1300
Dr. Sunanda Anand,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",29,Mahim, Mumbai,100,26,2800
Dr. Ramesh Patankar,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",38,Chembur East, Mumbai,79,85,1500
Dr. Pavan Pai,Neurologist,"MBBS, DNB - General Medicine, DNB - Neurology",15,Mira Road, Mumbai,0,0,1000
Dr. Adukia Sachin Ajitkumar,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",13,Powai, Mumbai,0,0,1600
Dr. Abhidha Shah,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",14,Colaba, Mumbai,0,0,2500
Dr. Pradeep Tiwari,Neurologist,"DM - Neurology, MD - General Medicine, MBBS",6,Chembur, Mumbai,0,0,1000
Dr. Prashant Makhija,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",18,Mumbai Central, Mumbai,92,12,2000
Dr. Darpan J. Thakre,Neurologist,"MBBS, MS - General Surgery, DNB - Neurosurgery",14,Mahim, Mumbai,71,14,2500
Dr. Siddartha Reddy,Neurologist,"MBBS, MD - Pediatrics, DM - Neurology",14,Madinaguda, Hyderabad,94,1223,700
Dr. Sri Ram Chandra Damaraju,Neurologist,"MBBS, MCh - Neuro Surgery, DNB - Neurology",31,Himayat Nagar, Hyderabad,99,209,1100
Dr. Syed Osman,Neurologist,"MBBS, DNB - General Medicine, DNB - Neurology",15,Tolichowki, Hyderabad,100,14,600
Dr. B V Deepa Rani,Neurologist,"MBBS, DM - Neurology",13,Chanda Nagar, Hyderabad,99,80,600
Dr. Srikanth Boini,Neurologist,"DM - Neurology, MBBS, MD - General Medicine",9,Miyapur, Hyderabad,91,22,600
Dr. P.Chandra Shekar,Neurologist,"DM - Neurology, MBBS, MD - General Medicine",13,Nacharam, Hyderabad,67,12,600
Dr. Mukheem Mudabbir,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",7,Mehdipatnam, Hyderabad,0,0,650
Dr. S Srikanth Reddy,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16,Hitech City, Hyderabad,98,52,500
Dr. Kaushal Ippili,Neurologist,"MBBS, MS - General Surgery, DNB - Neurosurgery",21,Jubilee Hills, Hyderabad,95,134,1200
Dr. Vemula Sreekanth,Neurologist,"MD - General Medicine, DM - Neurology, MBBS",28,Jubilee Hills, Hyderabad,88,186,1000
Dr. Sudhir Kumar,Neurologist,"MBBS, DNB - General Medicine, DM - Neurology",29,Jubilee Hills, Hyderabad,86,42,1000
Dr. Neehar Potluri,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",22,Kukatpally, Hyderabad,98,3344,500
Dr. Rajesh Reddy Chenna,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",23,Jubilee Hills, Hyderabad,76,21,1000
Dr. Deepika Sirineni,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",9,Hyderguda, Hyderabad,0,0,600
Dr. Sandeep Nayani,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",15,Jubilee Hills, Hyderabad,95,21,800
Dr. S Rajesh Reddy,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery",17,Jubilee Hills, Hyderabad,0,0,800
Dr. V Bramha Prasad,Neurologist,"MBBS, MCh - Neuro Surgery",19,Secunderabad, Hyderabad,0,0,600
Dr. Raghavendra H,Neurologist,"MBBS, MS - General Surgery, MCh - Neuro Surgery, Fellow in Spine Surgery",18,Ameerpet, Hyderabad,100,172,700
Dr. Ranjith.G,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",11,Hitech City, Hyderabad,0,0,500
Dr. Venkat Reddy A,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",15,Secunderabad, Hyderabad,92,12,600
Dr. Vikram Reddy,Neurologist,"MBBS, DNB - Paediatrics, DNB - Neurology",4,Hitech City, Hyderabad,0,0,500
Dr. Sree Ranga Lakshmi G,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",28,Kanchanbagh, Hyderabad,0,0,500
Dr. S Prasanna,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",11,Erragadda, Hyderabad,0,0,550
Dr. Anusha Challa,Neurologist,"MBBS, MD - Pediatrics, DM - Neurology",9,Lakdikapul, Hyderabad,0,0,800
Dr. Rajesh Reddy Pasham,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",14,Miyapur, Hyderabad,100,57,600
Dr. Niveditha Sai Chandra,Neurologist,"MBBS, DNB - Neurology, MD - General Medicine",12,East Marredpally, Hyderabad,0,0,900
Dr. K S Kiran,Neurologist,"MBBS, MCh - Neuro Surgery",16,Chanda Nagar, Hyderabad,0,0,400
Dr. Alluri Neeraja,Neurologist,"DM - Neurology, MBBS, MD - General Medicine",17,KPHB, Hyderabad,98,40,600
Dr. Matta Gopi Srikanth,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",22,Moti Nagar, Hyderabad,78,23,600
Dr. C.H. Suresh Reddy,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",20,LB Nagar, Hyderabad,79,14,680
Dr. Chaitanya Koduri,Neurologist,"MBBS, DM - Neurology, MD - General Medicine",11,Gachibowli, Hyderabad,0,0,500
Dr. Yeshwanth Paidimarri,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",13,Kondapur, Hyderabad,100,32,900
Dr. Murali Krishna CH V,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",21,Kanchanbagh, Hyderabad,0,0,400
Dr. B Kirthi Theja,Neurologist,"MBBS, DM - Neurology, DNB - General Medicine",14,Nacharam, Hyderabad,85,20,700
Dr. CH Praveen,Neurologist,"MBBS, MD - General Medicine, DM - Neurology",13,LB Nagar, Hyderabad,0,0,680
Dr. Murali Krishna Konda,Neurologist,"MBBS, MD - General Medicine, DNB - Neurology",5,Kukatpally, Hyderabad,0,0,800
Dr. Manoj Vasireddy,Neurologist,"MBBS, DNB - Paediatrics, DM - Neurology",11,Kukatpally, Hyderabad,0,0,900
Dr. Ganesh K Murthy,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",32,Jayanagar, Bangalore,0,0,1000
Dr. Arjun Srivatsa,Neurosurgeon,"MBBS, DNB - Neurosurgery",31,Kalyan Nagar, Bangalore,98,129,1000
Dr. Sunil V Furtado,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery, DNB - Neurosurgery",22,Sahakaranagar, Bangalore,99,164,700
Dr. K Kartik Revanappa,Neurosurgeon,"MS - Orthopaedics, MCh - Neuro Surgery, MBBS",22,JP Nagar 8 Phase, Bangalore,99,141,1000
Dr. Deepak A N,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",14,Kundalahalli, Bangalore,0,0,800
Dr. Abdul Aziz Riyaz,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10,BTM Layout 2nd Stage, Bangalore,87,45,800
Dr. Sridhar R,Neurosurgeon,MS - Neuro Surgery,19,Kanakpura Road, Bangalore,100,20,800
Dr. Deepak Somasundar,Neurosurgeon,"MBBS, MS - General Surgery, DNB - Neurosurgery",13,Yelahanka New Town, Bangalore,99,69,700
Dr. Sunil Buddappa,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12,Sahakaranagar, Bangalore,0,0,1300
Dr. Ganesh Veerabhadraiah,Neurosurgeon,"MBBS, DNB - Neurosurgery, Fellowship in Interventional Neurosurgery (FINR)",21,Jayanagar, Bangalore,0,0,700
Dr. Aniruddh T Jagannath,Neurosurgeon,"MCh - Neuro Surgery, MBBS",19,MG Road, Bangalore,100,86,1000
Dr. Sabyasachi Basu,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16,Koramangala 5 Block, Bangalore,0,0,1250
Dr. Hariprakash Chakravarthy,Neurosurgeon,"MBBS, DNB - Neurosurgery",21,JP Nagar, Bangalore,0,0,950
Dr. Aravinth Kumar. A,Neurosurgeon,"MBBS, MCh - Neuro Surgery",12,Nagasandra, Bangalore,0,0,700
Dr. Yadhu K Lokanath,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",6,JP Nagar, Bangalore,0,0,950
Dr. N Chandrashekar,Neurosurgeon,"MCh - Neuro Surgery, MBBS",36,HSR Layout, Bangalore,97,222,750
Dr. Ravi Gopal Varma,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",31,Hebbal, Bangalore,98,43,900
Dr. Abhilash Bansal,Neurosurgeon,"DNB - Neurosurgery, MBBS",13,Bannerghatta Road, Bangalore,100,24,1000
Dr. Umesh Srikantha,Neurosurgeon,"MBBS, MCh - Neuro Surgery",21,Hebbal, Bangalore,89,35,900
Dr. Avinash K M,Neurosurgeon,"MBBS, MS - General Surgery, MRCS (UK), MCh - Neuro Surgery",15,Hebbal, Bangalore,91,23,1090
Dr. Nirmala S,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",19,Hebbal, Bangalore,0,0,900
Dr. Akshay Hari,Neurosurgeon,"DNB - Neurosurgery, MBBS",12,Hebbal, Bangalore,98,59,900
Dr. Santhosh,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15,Hebbal, Bangalore,82,11,900
Dr. Lakshman I K,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",17,Kengeri, Bangalore,93,14,700
Dr. Arun L Naik,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",22,Bannerghatta Road, Bangalore,92,360,1000
Dr. K M Bopanna,Neurosurgeon,"MBBS, DNB - Neurosurgery",26,Old Airport Road, Bangalore,86,22,900
Dr. Deshpande V Rajakumar,Neurosurgeon,"MBBS, MCh - Neuro Surgery",40,Bannerghatta Road, Bangalore,96,23,900
Dr. Sathwik R Shetty,Neurosurgeon,"MBBS, DNB - Neurosurgery",19,Old Airport Road, Bangalore,100,16,900
Dr. Ajay Herur,Neurosurgeon,"MBBS, DNB - Neurosurgery",23,Jayanagar, Bangalore,0,0,750
Dr. Arvind Bhateja,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",29,Vasanthnagar, Bangalore,96,136,850
Dr. Praveen Ganigi,Neurosurgeon,"MCh - Neuro Surgery, MBBS",26,Old Airport Road, Bangalore,92,13,900
Dr. NAGARJUN M N,Neurosurgeon,"MBBS, MCh - Neuro Surgery",13,Jayanagar 9 Block, Bangalore,0,0,750
Dr. Paritosh Pandey,Neurosurgeon,"MBBS, MCh - Neuro Surgery",22,Old Airport Road, Bangalore,86,14,900
Dr. Naveen M A,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",11,Kengeri, Bangalore,0,0,700
Dr. Praharaj  S S,Neurosurgeon,"MBBS, MS - General Surgery, DNB - Neurology, MCh - Neuro Surgery",37,Bannerghatta Road, Bangalore,68,22,900
Dr. Harisha P N,Neurosurgeon,"MBBS, MCh - Neuro Surgery",18,Millers Road, Bangalore,0,0,1000
Dr. Shiva S Kupanur,Neurosurgeon,"MBBS, DNB - Neurosurgery",26,Yeshwanthpur, Bangalore,96,74,600
Dr. Prathap Kumar Pani,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",40,Rajarajeshwarinagar, Bangalore,65,20,700
Dr. Sharan Srinivasan,Neurosurgeon,"MBBS, DNB - Neurosurgery",21,Malleswaram, Bangalore,0,0,750
Dr. Santhosh Kumar S A,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13,Kengeri, Bangalore,0,0,700
Dr. Kishor Rao,Neurosurgeon,"MS - General Surgery, MCh - Neuro Surgery",12,HBR Layout, Bangalore,0,0,800
Dr. Raghuram G,Neurosurgeon,"MBBS, DNB - Neurosurgery",15,Yeshwanthpur, Bangalore,0,0,950
Dr. Satish Sathyanarayana,Neurosurgeon,"MBBS, MCh - Neuro Surgery",33,Bannerghatta Road, Bangalore,75,24,900
Dr. Jagdish Chattnalli,Neurosurgeon,"DNB - Neurosurgery, MBBS",22,Ashoknagar, Bangalore,74,19,800
Dr. Praveen K.S,Neurosurgeon,"MBBS, DNB - General Surgery, MCh - Neuro Surgery, MS - General Surgery",20,Sampangiramnagar, Bangalore,0,0,800
Dr. S R Patil,Neurosurgeon,"MCh - Neuro Surgery, MS - General Surgery, MBBS",15,Hennur, Bangalore,0,0,800
Dr. Karthikeyan Y R,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",16,Seshadripuram, Bangalore,0,0,740
Dr. Harsha Hegde,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",5,Banashankari 6th Stage, Bangalore,0,0,800
Dr. Abhinandhan J Gangannavar,Neurosurgeon,"MBBS, DNB - Neurosurgery",9,Yeshwanthpur, Bangalore,100,42,600
Dr. B. Ravi Mohan Rao,Neurosurgeon,"MCh - Neuro Surgery, MBBS",36,Seshadripuram, Bangalore,0,0,1000
Dr. Satish Babu HV,Neurosurgeon,"MBBS, MCh - Neuro Surgery",31,HRBR Layout, Bangalore,0,0,1000
Dr. Karthik Malepathi,Neurosurgeon,"MBBS, MCh - Neuro Surgery",13,Seshadripuram, Bangalore,0,0,740
Dr. Dibanath Chakraborthy,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",24,Malleswaram, Bangalore,0,0,750
Dr. Kiran Khanapure,Neurosurgeon,"MBBS, MCh - Neuro Surgery",23,Millers Road, Bangalore,0,0,1000
Dr. Sundeep V K,Neurosurgeon,"MCh - Neuro Surgery, MBBS, MS - General Surgery",10,Ashoknagar, Bangalore,0,0,800
Dr. Dhananjaya  Bhat,Neurosurgeon,"MBBS, MCh - Neuro Surgery",24,JP Nagar, Bangalore,0,0,950
Dr. Anirudh S,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",12,Rajarajeshwarinagar, Bangalore,0,0,700
Dr. Veeresha U Mathad,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",13,Sarjapur Road, Bangalore,0,0,1000
Dr. Keshav G.C,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",10,Kammana Halli, Bangalore,0,0,500
Dr. Mohamed Mujahid Usman,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",18,Vasanthnagar, Bangalore,0,0,750
Dr. Vinayaka M,Neurosurgeon,"MBBS, DNB - Neurosurgery",15,Whitefield, Bangalore,0,0,850
Dr. Sandesh O,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",9,Yeshwanthpur, Bangalore,0,0,500
Dr. Manish Ganesh Pai,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",21,JP Nagar, Bangalore,0,0,950
Dr. Shylesh M P,Neurosurgeon,"MS - General Surgery, MCh - Neuro Surgery, MBBS",8,HBR Layout, Bangalore,0,0,800
Dr. Vishal Bhasme,Neurosurgeon,"MCh - Neuro Surgery, MS - General Surgery, MBBS",18,Wakad, Pune,0,0,1000
Dr. Sarang Gotecha,Neurosurgeon,"MBBS, MS - General Surgery, MCh - Neuro Surgery",15,Wakad, Pune,100,12,850
Dr. Mandar Patil,Neurosurgeon,"MBBS, DNB - Neurosurgery",13,Wakad, Pune,0,0,800
